method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_hard,10,intercept,False,0.8000000000000005,0.7900000000000005,,0.7500000000000004,3.6477546067767745,39.300292003136846,-0.3402796330346284,-8.824161680749945,-14.766666174093187,0.10918754658404159,0.7531763678486292,-0.2954334310227582,0.5363478378739999,0.0625,0.05,0.15,0.0,8.0,70.0
pn,pilot_hard,11,breach,False,3.4999999999999694,,3.4899999999999696,0.6500000000000004,5.358019194257823,2.9600327015729486,-0.7240852100568801,-3.0813940627540557,-9.714290183083936,0.07028127911711274,1.5134943851966447,0.22983919925330823,1.1192124124630847,0.11142857142857143,0.02857142857142857,0.08,0.0,8.0,70.0
pn,pilot_hard,12,intercept,False,0.7400000000000004,0.7300000000000004,,0.6900000000000004,3.716000913658691,38.90713775883882,-0.37823506936582674,-7.701980215607488,-14.343411148107158,0.1031442167577581,0.8058384339344629,-0.42231240817337895,0.5765209754796019,0.06756756756756757,0.05405405405405406,0.17567567567567569,0.0,8.0,70.0
pn,pilot_hard,13,breach,False,3.099999999999978,,3.089999999999978,0.6400000000000003,4.0402888638434655,2.9355156465352845,-0.8977826898657506,-5.634419661165953,-13.193581018981977,0.04694950701326029,1.4166774189430378,0.13713877169743185,1.3726285359713126,0.13548387096774195,0.03870967741935484,0.09032258064516129,0.0,8.0,70.0
pn,pilot_hard,14,breach,False,2.9799999999999804,,2.9699999999999807,0.7100000000000004,5.155114377198355,2.8840173362871164,-0.7865162113329562,-4.579215472157482,-11.032306932948178,0.05002716614881154,1.3833123932181322,0.151125940194506,1.2136550477703796,0.14093959731543623,0.040268456375838924,0.09060402684563758,0.0,8.0,70.0
pn,pilot_hard,15,intercept,False,0.8300000000000005,0.8200000000000005,,0.7800000000000005,3.6415510155144775,38.73356422064168,-0.33384171309353394,-8.55331317822048,-14.785302732921735,0.10779243919773467,0.9513154155694749,-0.2701449254181638,0.5243180666049603,0.060240963855421686,0.04819277108433735,0.1566265060240964,0.0,8.0,70.0
pn,pilot_hard,16,intercept,True,0.6600000000000004,0.6500000000000004,,,3.646076804145845,41.23019825716109,-0.009003709452238495,-1.0110837172745224,-6.0596343989314905,0.1265047270812775,0.7895548843750155,0.19164728471062847,0.142085747072347,0.015151515151515152,0.015151515151515152,0.10606060606060606,0.0,8.0,70.0
pn,pilot_hard,17,intercept,False,0.7500000000000004,0.7400000000000004,,0.7100000000000004,3.7720821830811233,35.700475911280066,-0.25113069638191343,-6.4486234614784665,-11.686266914367923,0.10927425454210545,0.9007085618579806,-0.2020163309668257,0.41941256494757173,0.05333333333333334,0.05333333333333334,0.17333333333333334,0.0,8.0,70.0
pn,pilot_hard,18,breach,False,2.9299999999999815,,2.9199999999999817,0.6600000000000004,4.608832019753279,2.82435207815933,-0.7904223419696075,-4.279090448784045,-10.816975777665245,0.04824291760620916,1.4150181858328805,0.1436783986644429,1.2280780066144208,0.13993174061433447,0.040955631399317405,0.09897610921501707,0.0,8.0,70.0
pn,pilot_hard,19,breach,False,2.709999999999986,,2.6999999999999864,0.5800000000000003,4.158487000125188,2.9221912980127587,-0.9075158451812214,-7.893292849595753,-13.07449338292352,0.030649944372640955,1.1784843581540618,0.07481171784630548,1.3848662608868936,0.16236162361623616,0.055350553505535055,0.1033210332103321,0.0,8.0,70.0
pn,pilot_hard,20,intercept,True,0.7000000000000004,0.6900000000000004,,,3.3870978117780397,39.62855750664769,0.08679393505682642,0.5012314860856104,-1.9610283263288888,0.13144601632146147,0.8588126877954013,0.3906138061515835,0.03271773577168765,0.0,0.0,0.05714285714285714,0.0,8.0,70.0
pn,pilot_hard,21,intercept,True,0.7100000000000004,0.7000000000000004,,,3.3011615271335337,41.483364799650204,0.007358776320413596,-1.055566489913584,-4.944816409561811,0.12580987295845178,0.8928359925580529,0.23645423885981778,0.11489717564997429,0.0,0.014084507042253521,0.09859154929577464,0.0,8.0,70.0
pn,pilot_hard,22,breach,False,3.1199999999999775,,3.1099999999999777,0.5800000000000003,4.0867226568447474,2.9577527310018827,-0.9284577282843005,-5.989047031094261,-13.533956365323485,0.04391521992212566,1.4488922175776684,0.12574143300165658,1.4037310738717577,0.13782051282051283,0.038461538461538464,0.08333333333333333,0.0,8.0,70.0
pn,pilot_hard,23,intercept,True,0.6600000000000004,0.6500000000000004,,,3.6930842145924654,40.02932606475,0.10698694720932389,0.5001954197699937,-0.7292035418552802,0.13214762200669833,0.8357167754648803,0.4282682668226528,0.00962564778118185,0.0,0.0,0.030303030303030304,0.0,8.0,70.0
pn,pilot_hard,24,intercept,False,0.7100000000000004,0.7000000000000004,,0.6900000000000004,3.560688149006885,36.99141184462027,-0.1051536324837885,-5.1373795612378235,-9.60469408317749,0.12146109736054995,0.740530400406545,0.030639814274307748,0.25686376462583965,0.028169014084507043,0.04225352112676056,0.1267605633802817,0.0,8.0,70.0
pn,pilot_hard,25,breach,False,4.059999999999958,,4.049999999999958,0.6800000000000004,4.412821652507665,2.9502385776688356,-0.9135326405989956,-8.54475468466055,-13.402904636460773,0.06808091846549276,1.0839347926743328,0.2162228647970667,1.3748124027753628,0.10098522167487685,0.03940886699507389,0.0665024630541872,0.0,8.0,70.0
pn,pilot_hard,26,breach,False,3.8299999999999623,,3.8199999999999625,0.7500000000000004,4.567664989917414,2.961143768448818,-0.8583380787151759,-8.363545069039755,-12.615266955904069,0.06904836776119834,1.091294308497653,0.22352978186794695,1.2911561306870667,0.10182767624020887,0.0391644908616188,0.06788511749347259,0.0,8.0,70.0
pn,pilot_hard,27,intercept,False,0.7300000000000004,0.7200000000000004,,0.6900000000000004,3.674731920174519,38.625747773212055,-0.2277558308618799,-4.7506766041904,-11.931809760448857,0.1125713342171973,0.9919939677187144,-0.1758877820530272,0.39773211450971063,0.0547945205479452,0.0410958904109589,0.1643835616438356,0.0,8.0,70.0
pn,pilot_hard,28,breach,False,3.2999999999999736,,3.289999999999974,0.7000000000000004,4.453718327305743,2.9829749288988228,-0.8982131068917123,-5.967154461732352,-13.184729200408974,0.05483725809598755,1.3297528684911049,0.16845951701278297,1.353800878223216,0.12121212121212122,0.03333333333333333,0.08181818181818182,0.0,8.0,70.0
pn,pilot_hard,29,breach,False,3.1199999999999775,,3.1099999999999777,0.6600000000000004,4.953819269037548,2.969317190617811,-0.8253684052359289,-6.2244098581429,-11.633226364092756,0.05436751312796506,1.1307802820544555,0.16777629316832876,1.2552122133120203,0.13141025641025642,0.04487179487179487,0.08653846153846154,0.0,8.0,70.0
