method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_easy,24,intercept,True,0.7000000000000004,0.6900000000000004,,,3.258859436572375,36.77220447011647,0.08509572389838571,0.4939533027516148,-1.9842795035161196,0.13136093143498953,0.806392152447984,0.38761993365946545,0.033314857900385006,0.0,0.0,0.05714285714285714,0.0,8.0,70.0
pn,pilot_easy,25,intercept,False,0.7200000000000004,0.7100000000000004,,0.7000000000000004,3.660239552290376,41.90336195502561,-0.09319093006290802,-3.118642960951504,-8.579202956470635,0.12070649966526033,0.9749913420294196,0.05670848834576045,0.23593386117685264,0.027777777777777776,0.027777777777777776,0.1388888888888889,0.0,8.0,70.0
pn,pilot_easy,26,intercept,False,0.7900000000000005,0.7800000000000005,,0.7500000000000004,3.593976717280791,40.527413180693046,-0.23089375045938265,-8.147301087146241,-12.793337864362908,0.11506547691189674,0.7133335802922529,-0.13327354335465214,0.4068139826200726,0.05063291139240506,0.05063291139240506,0.13924050632911392,0.0,8.0,70.0
pn,pilot_easy,27,intercept,True,0.7100000000000004,0.7000000000000004,,,3.2826740473340177,38.35353772271816,0.01111854410856783,0.12278601650131042,-4.945316292381908,0.12658890538743528,1.0043927028924509,0.24505662335578948,0.11283358036205851,0.0,0.0,0.09859154929577464,0.0,8.0,70.0
pn,pilot_easy,28,intercept,False,0.7300000000000004,0.7200000000000004,,0.7100000000000004,3.7298530786348,37.990598791609564,-0.10899883799659171,-2.365192501814714,-8.718591452342917,0.11944076211205486,1.066588518158551,0.0333225261969189,0.2532536290206401,0.0273972602739726,0.0273972602739726,0.136986301369863,0.0,8.0,70.0
pn,pilot_easy,29,intercept,False,0.7100000000000004,0.7000000000000004,,0.6800000000000004,3.6984584771573146,38.72410212688585,-0.13759155980599436,-4.2211442166570246,-9.760659873358982,0.1181471175830234,0.890567879764998,-0.029936870125983592,0.29045951357366784,0.04225352112676056,0.04225352112676056,0.14084507042253522,0.0,8.0,70.0
pn,pilot_easy,30,intercept,True,0.6900000000000004,0.6800000000000004,,,3.5022962869290253,37.60529754338838,-0.005862516013662167,-1.0831633606612125,-5.27028437379952,0.12486317651359963,0.9053365886406455,0.20579735027875853,0.12896581946495836,0.014492753623188406,0.014492753623188406,0.11594202898550725,0.0,8.0,70.0
pn,pilot_easy,31,intercept,False,0.6100000000000003,0.6000000000000003,,0.5700000000000003,3.7308245109995424,35.13296233825985,-0.1821980525021033,-4.071450225497604,-9.210185842007293,0.10764653902253368,0.9012641956109962,-0.213134342691725,0.3312642505036286,0.06557377049180328,0.04918032786885246,0.19672131147540983,0.0,8.0,70.0
pn,pilot_easy,32,intercept,False,0.8100000000000005,0.8000000000000005,,0.7700000000000005,3.7759809287935617,40.30166906844299,-0.2814808318483073,-8.088582506280963,-13.961230031550267,0.1130129230958829,0.6370382737074104,-0.1947818419533883,0.4665671843033004,0.04938271604938271,0.04938271604938271,0.14814814814814814,0.0,8.0,70.0
pn,pilot_easy,33,intercept,True,0.7400000000000004,0.7300000000000004,,,3.6651660773419925,40.90705243276589,0.11180644337912027,0.49076177585291997,-0.7733570492782591,0.1330645542905165,0.7074633661168516,0.44348432096977686,0.009777263311719731,0.0,0.0,0.02702702702702703,0.0,8.0,70.0
pn,pilot_easy,34,intercept,False,0.7600000000000005,0.7500000000000004,,0.7200000000000004,3.7741086026967667,37.62682089698711,-0.2912154942132197,-8.402990451969469,-13.279826189538856,0.10983196082295925,0.6974247531206853,-0.256315528566518,0.4752082638553328,0.05263157894736842,0.06578947368421052,0.15789473684210525,0.0,8.0,70.0
pn,pilot_easy,35,intercept,True,0.7500000000000004,0.7400000000000004,,,3.2271503379801616,37.0776533551922,0.11365784644501675,0.4957599671304927,-0.43230388249824353,0.13255854305944811,0.8456515926345046,0.447030788628541,0.004812764172840491,0.0,0.0,0.02666666666666667,0.0,8.0,70.0
pn,pilot_easy,36,intercept,False,0.7500000000000004,0.7400000000000004,,0.7300000000000004,3.7728405182515234,38.74124454258232,-0.11899883491352736,-3.1537978392126904,-9.205069021246214,0.11931961497041439,1.024163979622351,0.02733819346535185,0.26594450410597315,0.02666666666666667,0.02666666666666667,0.13333333333333333,0.0,8.0,70.0
pn,pilot_easy,37,intercept,True,0.6700000000000004,0.6600000000000004,,,3.7805683199722204,36.12409990463548,0.09598366410920167,0.49177500707786564,-1.1076112627764136,0.13132203443080026,0.9038343899193636,0.4066344302667411,0.017901008718501695,0.0,0.0,0.04477611940298507,0.0,8.0,70.0
pn,pilot_easy,38,intercept,True,0.6600000000000004,0.6500000000000004,,,3.6534987796032756,38.41265740169058,0.11249161170067656,0.49726008022805607,-0.5097328915669802,0.13254629497126832,0.8111228555868962,0.4401475543632755,0.006121996869470466,0.0,0.0,0.030303030303030304,0.0,8.0,70.0
pn,pilot_easy,39,intercept,False,0.6700000000000004,0.6600000000000004,,0.6500000000000004,3.794274942906239,37.85890601349007,-0.07484639060756049,-0.7093655918035247,-6.722014492784638,0.11845609306783685,1.2310695519962866,0.059736153761149484,0.20457820687132222,0.029850746268656716,0.014925373134328358,0.14925373134328357,0.0,8.0,70.0
pn,pilot_easy,40,intercept,True,0.6700000000000004,0.6600000000000004,,,3.549621797212536,34.39057689637199,0.07012470795229542,0.4954038010071486,-2.6662803348496604,0.1308345042905822,0.772149463882543,0.354022049875436,0.05062567655411407,0.0,0.0,0.07462686567164178,0.0,8.0,70.0
pn,pilot_easy,41,intercept,False,0.7200000000000004,0.7100000000000004,,0.6800000000000004,3.711789500430924,39.966547343280986,-0.21259893109557426,-5.686038790957765,-11.334229167251783,0.11255336818025073,0.9074323791010439,-0.15927451078104704,0.3777915938831348,0.05555555555555555,0.041666666666666664,0.16666666666666666,0.0,8.0,70.0
pn,pilot_easy,42,intercept,True,0.7100000000000004,0.7000000000000004,,,3.700832592821034,41.388474218568696,-0.057399856514818715,-3.0314010218881076,-7.3353083992343615,0.12302966502190478,0.8139333787621227,0.11826647022519095,0.19414342156387832,0.014084507042253521,0.028169014084507043,0.1267605633802817,0.0,8.0,70.0
pn,pilot_easy,43,intercept,True,0.6100000000000003,0.6000000000000003,,,3.4001013995952456,36.981267927481895,0.05056818135966212,0.45900648073757405,-2.85653340112365,0.12735592906279972,1.0359478738100953,0.2956914252335745,0.06259353432787697,0.0,0.0,0.09836065573770492,0.0,8.0,70.0
pn,pilot_easy,44,intercept,False,0.7100000000000004,0.7000000000000004,,0.6800000000000004,3.5450330010261273,36.97245584005414,-0.1584258492524815,-5.598770346049498,-10.506747501252374,0.11677713887577103,0.7704019824015917,-0.07023762686908662,0.3164474425748441,0.04225352112676056,0.04225352112676056,0.15492957746478872,0.0,8.0,70.0
pn,pilot_easy,45,intercept,False,0.7700000000000005,0.7600000000000005,,0.7200000000000004,3.6314870015290315,40.49754698170825,-0.37476994511453243,-8.085681818273699,-14.805641001867773,0.10381935220435393,0.7334890939372966,-0.38845955239033453,0.574673406497269,0.06493506493506493,0.05194805194805195,0.18181818181818182,0.0,8.0,70.0
pn,pilot_easy,46,intercept,True,0.6900000000000004,0.6800000000000004,,,3.432233241766532,39.84448048931811,0.07288593112833497,0.4973992644687451,-2.1315620854601707,0.12974256381566135,0.9961787671063949,0.36174249148831394,0.040640782894268694,0.0,0.0,0.07246376811594203,0.0,8.0,70.0
pn,pilot_easy,47,intercept,False,0.7400000000000004,0.7300000000000004,,0.6900000000000004,3.677732464468882,36.67069854582738,-0.3044938023129108,-8.068448987642281,-13.430449568245614,0.10812536940098502,0.6430368580886333,-0.2986661093876793,0.49056876167873265,0.06756756756756757,0.06756756756756757,0.17567567567567569,0.0,8.0,70.0
pn,pilot_easy,48,intercept,True,0.7300000000000004,0.7200000000000004,,,3.659305441912702,40.29563982460518,-0.022007744183388023,-2.2361897987703316,-6.227343223513349,0.12554668901777616,0.8428694873678377,0.19263626656292457,0.15360789104100678,0.0136986301369863,0.0273972602739726,0.1095890410958904,0.0,8.0,70.0
pn,pilot_easy,49,intercept,False,0.7600000000000005,0.7500000000000004,,0.7300000000000004,3.6921921701961797,41.40059783891576,-0.17698870800247857,-6.212964666327496,-11.217884772962956,0.1175175301806452,0.6843573474380732,-0.0643930212635726,0.34109374700331013,0.039473684210526314,0.05263157894736842,0.14473684210526316,0.0,8.0,70.0
pn,pilot_easy,50,intercept,False,0.7900000000000005,0.7800000000000005,,0.7500000000000004,3.622556366694411,40.1346474371722,-0.3064647873227635,-7.043366617838257,-14.086687237026716,0.11083070917436583,0.7792584133949024,-0.25207633008148234,0.4963287622836382,0.05063291139240506,0.05063291139240506,0.1518987341772152,0.0,8.0,70.0
pn,pilot_easy,51,intercept,False,0.6800000000000004,0.6700000000000004,,0.6400000000000003,3.7177182180238564,38.14196453677116,-0.19718992894013632,-4.052600474160218,-10.379130988167525,0.11151189644721382,1.067986232973982,-0.16766419699683788,0.35686658723114034,0.058823529411764705,0.04411764705882353,0.17647058823529413,0.0,8.0,70.0
pn,pilot_easy,52,intercept,False,0.7200000000000004,0.7100000000000004,,0.7000000000000004,3.644265728231707,40.41788796830817,-0.0988259624294725,-2.71148866267834,-9.032916298634223,0.12160568563328734,0.8948558016345969,0.0490719049910978,0.24707801559851933,0.027777777777777776,0.027777777777777776,0.125,0.0,8.0,70.0
pn,pilot_easy,53,intercept,False,0.6000000000000003,0.5900000000000003,,0.5800000000000003,3.753740861449246,35.59211362729766,-0.052134515719286845,-0.9824667313845621,-6.268094852061501,0.1199040854806657,1.0913034588433181,0.06639517778915258,0.17925819107458632,0.03333333333333333,0.016666666666666666,0.16666666666666666,0.0,8.0,70.0
pn,pilot_easy,54,intercept,True,0.6500000000000004,0.6400000000000003,,,3.5912317412725243,40.154959375621694,0.11278268734703867,0.49847566867347287,-0.5836692968557939,0.1326543971801417,0.7800858358458835,0.4398459776705211,0.007050731335449096,0.0,0.0,0.03076923076923077,0.0,8.0,70.0
pn,pilot_easy,55,intercept,True,0.6700000000000004,0.6600000000000004,,,3.6389892199714757,37.48852902349706,0.07130513850047382,0.49961703844136324,-2.1420839414830257,0.12963405770338818,0.974827900622209,0.3549639266161679,0.0424911837693713,0.0,0.0,0.07462686567164178,0.0,8.0,70.0
pn,pilot_easy,56,intercept,True,0.6800000000000004,0.6700000000000004,,,3.4793984246124428,37.981997662339516,0.07692033091546135,0.36832118647033224,-2.1722324968520144,0.1307010006376328,0.8114080550081519,0.3691573677528724,0.03983412383170558,0.0,0.0,0.058823529411764705,0.0,8.0,70.0
pn,pilot_easy,57,intercept,True,0.6900000000000004,0.6800000000000004,,,3.754190356926758,35.901438266953676,-0.03950019995664478,-0.21890632068167876,-5.886825508259336,0.12173240269320766,1.1463436192962402,0.1407459438947184,0.16387009759013732,0.014492753623188406,0.014492753623188406,0.13043478260869565,0.0,8.0,70.0
pn,pilot_easy,58,breach,False,3.0699999999999785,,3.0599999999999787,0.7700000000000005,4.1784816382307515,2.961324564608082,-0.9873864648735087,-10.27421246778822,-15.356891212383601,0.041191694693783115,0.9752219069102649,0.11495044924002785,1.4761688911599995,0.13680781758957655,0.05211726384364821,0.08794788273615635,0.0,8.0,70.0
pn,pilot_easy,59,intercept,True,0.7000000000000004,0.6900000000000004,,,3.7463348618244643,42.83711372348772,0.11708952792287408,0.5009149108633314,-0.3311750024724151,0.13293841762621203,0.7649844932486138,0.4517763704018163,0.003311750024724151,0.0,0.0,0.014285714285714285,0.0,8.0,70.0
range_only,pilot_easy,0,intercept,True,0.7300000000000004,0.7200000000000004,,,3.7263155508123247,35.768563854828976,0.07248547855826692,-0.8673111481248001,-2.614006118048674,0.12481982455360416,1.4772603139970069,0.3205615358653896,0.054414365315263585,0.0,0.0273972602739726,0.0958904109589041,0.0,8.0,70.0
range_only,pilot_easy,1,intercept,True,0.6700000000000004,0.6600000000000004,,,3.419340100872068,37.45000318563674,0.05696352553059114,0.24718507605922008,-2.023350987019741,0.11328702030304265,1.9714057776233107,0.24190352938679027,0.07683571380218886,0.0,0.0,0.13432835820895522,0.0,8.0,70.0
range_only,pilot_easy,2,intercept,True,0.7500000000000004,0.7400000000000004,,,3.278179388881046,38.284489447339176,0.11413777246043877,0.5987692042342246,-0.14235665617822352,0.12360309849479269,1.8774168424994282,0.4088674453614507,0.0019650903827507565,0.0,0.0,0.02666666666666667,0.0,8.0,70.0
range_only,pilot_easy,3,intercept,True,0.8300000000000005,0.8200000000000005,,,3.2507565420744657,39.102383796611626,0.08089573931427618,0.2891756652911786,-1.4557565297748674,0.11830298003051795,1.860898716126802,0.3459133668077578,0.046428739505736505,0.0,0.0,0.13253012048192772,0.0,8.0,70.0
range_only,pilot_easy,4,intercept,True,0.7700000000000005,0.7600000000000005,,,3.7008381569542297,38.83534706326754,-0.020479784475845086,-2.5441872363920988,-4.579744057512689,0.11108631509389758,1.7625575972447574,0.13161778934394866,0.15392310147389193,0.012987012987012988,0.025974025974025976,0.23376623376623376,0.0,8.0,70.0
range_only,pilot_easy,5,intercept,True,0.5800000000000003,0.5700000000000003,,,3.4278021353124855,35.06656512978174,0.10204604253361482,0.7166590651769247,-0.9918311615731015,0.12456255329473015,1.6713131572884148,0.3580131897112573,0.0222163823923343,0.0,0.0,0.06896551724137931,0.0,8.0,70.0
range_only,pilot_easy,6,intercept,True,0.7000000000000004,0.6900000000000004,,,3.720229270491577,36.3446649149969,0.11312175601892549,0.7567701100069062,-0.1458034662359448,0.12758569295268482,1.5361595581414949,0.4304249975421316,0.0014992329284158124,0.0,0.0,0.02857142857142857,0.0,8.0,70.0
range_only,pilot_easy,7,intercept,True,0.5900000000000003,0.5800000000000003,,,3.3900352844504846,36.13972086840041,0.12360195178829703,0.5357101973944846,-0.030838709473407347,0.13205709413535308,0.9519582344218068,0.4413290282941301,0.0003083870947340735,0.0,0.0,0.01694915254237288,0.0,8.0,70.0
range_only,pilot_easy,8,intercept,False,0.8100000000000005,0.8000000000000005,,0.7900000000000005,3.781829845687443,40.778684733694185,-0.040333168903988414,-2.8903485930695685,-4.628135487195936,0.11413050378386962,1.5538122064407802,0.1275659488345742,0.19696848179305576,0.024691358024691357,0.037037037037037035,0.12345679012345678,0.0,8.0,70.0
range_only,pilot_easy,9,intercept,True,0.6300000000000003,0.6200000000000003,,,3.4679060797421064,36.037797640747876,0.09904042343116315,0.6601869844064508,-1.0978501284306803,0.12442997275383724,1.579751662745335,0.362012310203673,0.02267333463934847,0.0,0.0,0.12698412698412698,0.0,8.0,70.0
range_only,pilot_easy,10,intercept,True,0.8300000000000005,0.8200000000000005,,,3.4216957606596794,38.26643469535897,0.026915447998027697,-1.430714646271652,-4.105743148557626,0.121086218875293,1.6605719710287916,0.2604150169226594,0.0921679412089117,0.0,0.012048192771084338,0.0963855421686747,0.0,8.0,70.0
range_only,pilot_easy,11,intercept,True,0.7400000000000004,0.7300000000000004,,,3.6522267557098047,40.09613792032608,0.010087408680751309,-1.9195617487833265,-3.969959601701858,0.10977233895743972,1.9925830696709346,0.16708063042742358,0.1256154253271595,0.0,0.02702702702702703,0.16216216216216217,0.0,8.0,70.0
range_only,pilot_easy,12,intercept,True,0.7800000000000005,0.7700000000000005,,,3.681504344752675,38.03292306207635,-0.03329645076372123,-2.7400790833906266,-4.937769950965901,0.11768740818720327,1.42210440555754,0.1433508257374835,0.1672523151017891,0.01282051282051282,0.038461538461538464,0.14102564102564102,0.0,8.0,70.0
range_only,pilot_easy,13,intercept,True,0.7100000000000004,0.7000000000000004,,,3.5654441418449356,35.34749808249304,0.025699146968000686,-1.3794553181954636,-3.739273887959286,0.12128236696709334,1.3555657498954694,0.22720216939249266,0.09676320409012912,0.0,0.028169014084507043,0.1267605633802817,0.0,8.0,70.0
range_only,pilot_easy,14,intercept,True,0.7800000000000005,0.7700000000000005,,,3.6101353596205312,37.0149175857896,0.10659413091931513,0.6269194546098823,-1.4957402188807978,0.1246530819206347,1.7515544454376522,0.3815849700711443,0.020550533680173115,0.0,0.0,0.038461538461538464,0.0,8.0,70.0
range_only,pilot_easy,15,intercept,False,0.8900000000000006,0.8800000000000006,,0.8700000000000006,3.7768985013877656,37.54159030454416,-0.06096201819575475,-4.106980929252171,-5.861073900025908,0.11905355063313947,1.3756550046113685,0.1485881461948259,0.19378407469267417,0.02247191011235955,0.0449438202247191,0.12359550561797752,0.0,8.0,70.0
range_only,pilot_easy,16,intercept,True,0.6900000000000004,0.6800000000000004,,,3.7155751243112682,40.48228992361105,0.09919971706958786,0.7518898896975824,-0.38686512247228494,0.12187478754477574,1.8501885717544355,0.4066906639155338,0.0059532343752905035,0.0,0.0,0.028985507246376812,0.0,8.0,70.0
range_only,pilot_easy,17,intercept,True,0.7700000000000005,0.7600000000000005,,,3.4880224665908264,34.69914056842632,0.11464886003926433,0.6052517697071749,-0.6116613163192144,0.12862934434877163,1.3790611020721066,0.4085544519927248,0.011308402478696657,0.0,0.0,0.05194805194805195,0.0,8.0,70.0
range_only,pilot_easy,18,intercept,True,0.7500000000000004,0.7400000000000004,,,3.715441975835659,34.68798405630858,-0.02564051679521928,-3.235412535398582,-4.917004760519057,0.11891988922446198,1.3573819746060196,0.1543810564708082,0.14967484121529848,0.013333333333333334,0.05333333333333334,0.13333333333333333,0.0,8.0,70.0
range_only,pilot_easy,19,intercept,True,0.6600000000000004,0.6500000000000004,,,3.4763630586618075,34.140983008285005,0.06920758374272462,-0.3826907591142367,-2.9162295340043687,0.12675010656388772,1.2758633425729964,0.3161374991132963,0.05322833295489236,0.0,0.015151515151515152,0.07575757575757576,0.0,8.0,70.0
range_only,pilot_easy,20,intercept,True,0.7400000000000004,0.7300000000000004,,,3.543812868959614,38.68408573912805,0.08746492809520856,0.5567190975372853,-0.3638816341428875,0.12163813451906394,1.681965334723783,0.3716468015366997,0.005710511340045988,0.0,0.0,0.06756756756756757,0.0,8.0,70.0
range_only,pilot_easy,21,intercept,True,0.7300000000000004,0.7200000000000004,,,3.60276615572004,40.73954826103544,0.06427183036709527,-0.34094996390911286,-1.944346219330604,0.1165028449796443,1.745657417148328,0.27770538916920673,0.04388123961302,0.0,0.0136986301369863,0.1506849315068493,0.0,8.0,70.0
