method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_fov_exit,0,intercept,False,0.7100000000000004,0.7000000000000004,,0.6500000000000004,3.707971847712416,36.669764100692866,-0.3746343693711784,-7.034534545545164,-13.344235092609514,0.10005505465664773,0.6828242400437695,-0.45485513112842135,0.568955107978115,0.08450704225352113,0.07042253521126761,0.19718309859154928,0.0,8.0,70.0
pn,pilot_fov_exit,1,breach,False,2.959999999999981,,2.949999999999981,0.6100000000000003,4.4589284825405935,2.944310711777285,-0.8339960260528827,-6.800780981585548,-11.984034819004664,0.05004752473480176,1.2137859380970892,0.15021095157159906,1.271375159903596,0.13513513513513514,0.05405405405405406,0.08783783783783784,0.0,8.0,70.0
pn,pilot_fov_exit,2,intercept,True,0.6900000000000004,0.6800000000000004,,,3.7415103308434077,39.544409697475615,0.11551296298971547,0.493916672514558,-0.5699881641162539,0.1329745047692327,0.7550691047978391,0.4474149507738364,0.006501125336988341,0.0,0.0,0.028985507246376812,0.0,8.0,70.0
pn,pilot_fov_exit,3,breach,False,3.379999999999972,,3.369999999999972,0.7500000000000004,4.087083199243845,2.9223574309327027,-0.9802962122754737,-7.9781857284628455,-15.65068160359195,0.05263613136298371,1.3043277847488117,0.16074197070126253,1.4501951885607332,0.12130177514792899,0.03254437869822485,0.07396449704142012,0.0,8.0,70.0
pn,pilot_fov_exit,4,breach,False,3.179999999999976,,3.1699999999999764,0.6900000000000004,4.097487639662592,2.994037066315142,-0.9282525729467374,-8.918591702473847,-14.375702374679845,0.05180478836013268,1.1517415786006282,0.15648052179168867,1.3851815970740509,0.12264150943396226,0.04716981132075472,0.07861635220125786,0.0,8.0,70.0
pn,pilot_fov_exit,5,intercept,False,0.5700000000000003,0.5600000000000003,,0.5300000000000002,3.715296389759388,35.4906519099899,-0.18693039425123092,-3.0052861464707825,-9.715275862003967,0.10932975023854366,1.0603849846742064,-0.25707098205822604,0.3429319630966869,0.07017543859649122,0.03508771929824561,0.19298245614035087,0.0,8.0,70.0
pn,pilot_fov_exit,6,intercept,True,0.6800000000000004,0.6700000000000004,,,3.58038668142919,36.84670111907515,0.03599801001436964,0.021661908465849408,-4.365185295130446,0.1293805137514193,0.7830062740039146,0.28803712780522833,0.09137084341398662,0.0,0.0,0.08823529411764706,0.0,8.0,70.0
pn,pilot_fov_exit,7,intercept,True,0.5800000000000003,0.5700000000000003,,,3.4808778315173576,36.601290350794194,-0.03966588952035044,-1.0185581984191916,-6.318740295021475,0.1220065902935693,1.0469697252112753,0.08310749458846994,0.17174485974779735,0.017241379310344827,0.017241379310344827,0.13793103448275862,0.0,8.0,70.0
pn,pilot_fov_exit,8,breach,False,3.4399999999999706,,3.429999999999971,0.6800000000000004,6.33508619285974,2.892075755019863,-0.5829261379002015,-1.5178490515732757,-7.250522749372137,0.07726920233176758,1.334136818503781,0.2577001082986548,0.9285254532312007,0.11337209302325581,0.023255813953488372,0.08430232558139535,0.0,8.0,70.0
pn,pilot_fov_exit,9,intercept,True,0.6000000000000003,0.5900000000000003,,,3.6282692199816537,36.87175756352111,-0.010730534055136132,0.056590576124087286,-5.318241305880103,0.1239568830800281,1.014362118153491,0.15973900758951204,0.13529325445024845,0.016666666666666666,0.0,0.13333333333333333,0.0,8.0,70.0
